Тип;Артикул;Имя;Опубликован;"Видимость в каталоге";Описание;"Базовая цена";Категории;Изображения;"Внешний URL";"Текст кнопки";EAN;Бренд
external;vse-130562;"Кромочная прямая фреза по дсп Энкор ф9,5х25 мм,хв.8 мм";1;visible;"<h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Внешний диаметр</td><td>9.500</td></tr><tr><td>Рабочая высота</td><td>25.000</td></tr><tr><td>Диаметр хвостовика</td><td>8</td></tr><tr><td>Тип</td><td>кромочная</td></tr><tr><td>Вид</td><td>концевая</td></tr></table>";630;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Фрезы по дереву";https://cdn.vseinstrumenti.ru/images/goods/130562/1000x1000/51066977.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Ffreza-kromochnaya-pryamaya-9-5h25-mm-hvostovik-8-mm-po-dsp-enkor-28051-130562%2F;Купить;4603434006004;Энкор
external;vse-1104630;"Пазовая галтельная фреза РОСОМАХА 1005";1;visible;"<h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Внешний диаметр</td><td>22.000</td></tr><tr><td>Рабочая высота</td><td>14.000</td></tr><tr><td>Вид</td><td>концевая</td></tr><tr><td>Тип</td><td>пазовая галтельная</td></tr><tr><td>Диаметр хвостовика</td><td>8</td></tr></table>";536;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Фрезы по дереву";https://cdn.vseinstrumenti.ru/images/goods/1104630/1000x1000/67662793.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Ffreza-pazovaya-galtelnaya-seriya-1005-22x14-mm-hvostovik-8-mm-rosomaha-800507-1104630%2F;Купить;4603749355422;РОСОМАХА
external;vse-517668;"Пазовая галтельная фреза Энкор 9299";1;visible;"<h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Внешний диаметр</td><td>25.400</td></tr><tr><td>Рабочая высота</td><td>16.000</td></tr><tr><td>Диаметр хвостовика</td><td>8</td></tr><tr><td>Тип</td><td>пазовая галтельная</td></tr><tr><td>Вид</td><td>концевая</td></tr></table>";926;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Фрезы по дереву";https://cdn.vseinstrumenti.ru/images/goods/517668/1000x1000/51131250.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Ffreza-pazovaya-galtelnaya-25-4h16h44-mm-r12-7-hvostovik-8-mm-enkor-9299-517668%2F;Купить;4607051005730;Энкор
external;vse-130551;"Кромочная калевочная фреза по дереву Энкор 9244";1;visible;"<h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Внешний диаметр</td><td>38.100</td></tr><tr><td>Рабочая высота</td><td>19.000</td></tr><tr><td>Тип</td><td>кромочная</td></tr><tr><td>Вид</td><td>концевая</td></tr><tr><td>Диаметр хвостовика</td><td>8</td></tr></table>";921;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Фрезы по дереву";https://cdn.vseinstrumenti.ru/images/goods/130551/1000x1000/54229926.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Ffreza-kromochnaya-kalevochnaya-38-1h19-mm-r-12-7-mm-hvostovik-8-mm-po-derevu-enkor-9244-130551%2F;Купить;4607051006010;Энкор
external;vse-1493497;"Пазовая галтельная фреза VIRA 553340";1;visible;"<h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Внешний диаметр</td><td>12.700</td></tr><tr><td>Рабочая высота</td><td>10.000</td></tr><tr><td>Общая длина</td><td>43.000</td></tr><tr><td>Тип</td><td>пазовая галтельная</td></tr><tr><td>Диаметр хвостовика</td><td>8</td></tr><tr><td>Вид</td><td>концевая</td></tr></table>";265;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Фрезы по дереву";https://cdn.vseinstrumenti.ru/images/goods/1493497/1000x1000/88375070.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Ffreza-pazovaya-galtelnaya-12-7h10-mm-r6-35-mm-vira-553340-1493497%2F;Купить;4690521029268;VIRA
external;vse-130766;"Кромочная фреза по дереву Энкор 10525";1;visible;"<h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Внешний диаметр</td><td>12.700</td></tr><tr><td>Рабочая высота</td><td>51.000</td></tr><tr><td>Вид</td><td>концевая</td></tr><tr><td>Тип</td><td>кромочная</td></tr><tr><td>Диаметр хвостовика</td><td>12</td></tr></table>";1003;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Фрезы по дереву";https://cdn.vseinstrumenti.ru/images/goods/130766/1000x1000/51080470.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Ffreza-kromochnaya-pryamaya-12-7h51-mm-hvostovik-12-mm-po-derevu-enkor-10525-130766%2F;Купить;4607051009493;Энкор
external;vse-515745;"Кромочная прямая фреза Энкор 10524";1;visible;"<h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Внешний диаметр</td><td>12.700</td></tr><tr><td>Рабочая высота</td><td>38.000</td></tr><tr><td>Вид</td><td>концевая</td></tr><tr><td>Тип</td><td>кромочная</td></tr><tr><td>Диаметр хвостовика</td><td>12</td></tr></table>";893;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Фрезы по дереву";https://cdn.vseinstrumenti.ru/images/goods/515745/1000x1000/53402734.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Ffreza-kromochnaya-pryamaya-12-7h38-mm-hvostovik-12-mm-po-derevu-enkor-10524-515745%2F;Купить;4607051009486;Энкор
external;vse-1155064;"Пазовая прямая фреза Gigant G-0825";1;visible;"Фреза пазовая прямая Gigant G-0825 предназначен для фрезерных машин и фрезерных станков. Применяется для обработки древесины.<h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Внешний диаметр</td><td>8.100</td></tr><tr><td>Рабочая высота</td><td>25.200</td></tr><tr><td>Общая длина</td><td>60.800</td></tr><tr><td>Тип</td><td>пазовая прямая</td></tr><tr><td>Вид</td><td>концевая</td></tr><tr><td>Диаметр хвостовика</td><td>8</td></tr></table>";434;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Фрезы по дереву";https://cdn.vseinstrumenti.ru/images/goods/1155064/1000x1000/72324944.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Ffreza-pazovaya-pryamaya-8-1x25-2x8-mm-gigant-g-0825-1155064%2F;Купить;4627174670943;Gigant
external;vse-1719415;"Слэбовая фреза для выравнивания дна PROCUT DMR-KM05";1;visible;"<h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Внешний диаметр</td><td>38.000</td></tr><tr><td>Рабочая высота</td><td>6.700</td></tr><tr><td>Общая длина</td><td>72.000</td></tr><tr><td>Диаметр хвостовика</td><td>8</td></tr><tr><td>Тип</td><td>дисковая</td></tr><tr><td>Вид</td><td>концевая</td></tr></table>";3676;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Фрезы по дереву";https://cdn.vseinstrumenti.ru/images/goods/1719415/1000x1000/88543611.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Ffreza-slebovaya-dlya-vyravnivaniya-dna-38x6-7-72-mm-hvostovik-8-mm-4-zuba-procut-dmr-km05-1719415%2F;Купить;4603736009949;PROCUT
external;vse-1197674;"Пазовая прямая фреза FIT 3601-082512";1;visible;"<h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Внешний диаметр</td><td>12.000</td></tr><tr><td>Рабочая высота</td><td>25.000</td></tr><tr><td>Общая длина</td><td>60.400</td></tr><tr><td>Тип</td><td>пазовая прямая</td></tr><tr><td>Диаметр хвостовика</td><td>8</td></tr><tr><td>Вид</td><td>концевая</td></tr></table>";363;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Фрезы по дереву";https://cdn.vseinstrumenti.ru/images/goods/1197674/1000x1000/52124553.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Ffreza-pazovaya-pryamaya-s-dvojnym-lezviem-12h25h60-4-mm-fit-3601-082512-1197674%2F;Купить;4640010960145;FIT
external;vse-1197626;"Фальцевая фреза FIT 3613-081338";1;visible;"<h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Внешний диаметр</td><td>38.100</td></tr><tr><td>Рабочая высота</td><td>13.000</td></tr><tr><td>Общая длина</td><td>57.300</td></tr><tr><td>Вид</td><td>концевая</td></tr><tr><td>Тип</td><td>фальцевая кромочная</td></tr><tr><td>Диаметр хвостовика</td><td>8</td></tr></table>";681;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Фрезы по дереву";https://cdn.vseinstrumenti.ru/images/goods/1197626/1000x1000/51453768.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Ffreza-faltsevaya-38-1h13h57-3-mm-fit-3613-081338-1197626%2F;Купить;4640010960657;FIT
external;vse-130530;"Кромочная калевочная фреза по дереву Энкор ф28.6х16, r8, хв.8мм";1;visible;"<h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Внешний диаметр</td><td>28.600</td></tr><tr><td>Рабочая высота</td><td>16.000</td></tr><tr><td>Диаметр хвостовика</td><td>8</td></tr><tr><td>Тип</td><td>кромочная</td></tr><tr><td>Вид</td><td>концевая</td></tr></table>";924;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Фрезы по дереву";https://cdn.vseinstrumenti.ru/images/goods/130530/1000x1000/51071542.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Ffreza-kromochnaya-kalevochnaya-28-6h16-mm-r-8-mm-hvostovik-8-mm-po-derevu-enkor-9242-130530%2F;Купить;4607051005990;Энкор
external;vse-1092829;"Набор фрез по дереву ЗУБР ПРОФ.";1;visible;"<h4>Комплектация:</h4><ul> <li>Кромочная калевочная&nbsp;№1 25.4 мм - 1 шт.</li> <li>Кромочная калевочная&nbsp;№1 31.8 мм&nbsp;- 1 шт.</li> <li>Кромочная калевочная №2 31.8 мм - 1 шт.</li> <li>Кромочная калевочная №6&nbsp;28.6&nbsp;мм - 1 шт.</li> <li>Кромочная калевочная №9&nbsp;34.8 мм&nbsp;- 1 шт.</li> <li>Кромочная прямая&nbsp;с нижним подшипником 12.7 мм - 1 шт.</li> <li>Пазовая галтельная 6.4 мм - 1 шт.</li> <li>Пазовая галтельная V-образная 12.7 мм - 1 шт.</li> <li>Пазовая прямая 6 мм - 1 шт.</li> <li>Пазовая прямая 12&nbsp;мм - 1 шт.</li> <li>Пазовая прямая 16&nbsp;мм - 1 шт.</li> <li>Пазовая фасонная Ласточкин хвост&nbsp;12.7 - 1 шт.</li> </ul><br><h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Max диаметр фрезы</td><td>34.9</td></tr><tr><td>Min диаметр фрезы</td><td>6</td></tr><tr><td>Количество</td><td>12.000</td></tr><tr><td>Диаметр хвостовика</td><td>8</td></tr><tr><td>Вид</td><td>концевая</td></tr></table>";3247;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Наборы фрез по дереву";https://cdn.vseinstrumenti.ru/images/goods/1092829/1000x1000/71932825.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Fnabor-frez-po-derevu-12-sht-hvostovik-8-mm-zubr-28796-h12-1092829%2F;Купить;4606373259241;ЗУБР
external;vse-1110717;"Прямая пазовая фреза РОСОМАХА 1001";1;visible;"<h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Внешний диаметр</td><td>5.000</td></tr><tr><td>Рабочая высота</td><td>12.000</td></tr><tr><td>Тип</td><td>пазовая прямая</td></tr><tr><td>Диаметр хвостовика</td><td>8</td></tr><tr><td>Вид</td><td>концевая</td></tr></table>";291;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Фрезы по дереву";https://cdn.vseinstrumenti.ru/images/goods/1110717/1000x1000/51961312.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Ffreza-pryamaya-pazovaya-seriya-1001-5x12-mm-hvostovik-8-mm-rosomaha-800103-1110717%2F;Купить;4603749355026;РОСОМАХА
external;vse-835598;"Цанговый патрон GRIFF NT30ER32";1;visible;"<h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Ключ в комплекте</td><td>нет</td></tr><tr><td>Цанги в комплекте</td><td>нет</td></tr><tr><td>Тип</td><td>патрон цанговый</td></tr><tr><td>Хвостовик</td><td>NT40</td></tr><tr><td>Тип используемых цанг</td><td>ER32</td></tr></table>";3736;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Цанговые патроны для фрезерных станков";https://cdn.vseinstrumenti.ru/images/goods/835598/1000x1000/164154283.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Fpatron-tsangovyj-nt40er32-hvostovik-konus-7-24-din2080-griff-b221123-835598%2F;Купить;4630026750137;GRIFF
external;vse-901480;"Дисковая трехсторонняя фреза Туламаш 138690";1;visible;"<h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Внешний диаметр</td><td>100.000</td></tr><tr><td>Длина режущей кромки</td><td>20.000</td></tr><tr><td>Материал</td><td>Р6М5</td></tr><tr><td>Количество зубьев</td><td>20</td></tr><tr><td>Тип хвостовика</td><td>нет</td></tr><tr><td>Вид</td><td>насадная</td></tr><tr><td>Тип</td><td>дисковая трехсторонняя</td></tr><tr><td>Внутренний диаметр</td><td>32</td></tr></table>";9376;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Фрезы по металлу";https://cdn.vseinstrumenti.ru/images/goods/901480/1000x1000/51979437.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Ffreza-diskovaya-3-h-storonnyaya-100h20h32-mm-z-20-r6m5-tulamash-tm-138690-901480%2F;Купить;1100001386901;Туламаш
external;vse-903328;"Отрезная фреза Туламаш 39189";1;visible;"<h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Внешний диаметр</td><td>125.000</td></tr><tr><td>Высота шпоночного паза </td><td>1.000</td></tr><tr><td>Внутренний диаметр</td><td>22</td></tr><tr><td>Тип хвостовика</td><td>нет</td></tr><tr><td>Вид</td><td>насадная</td></tr><tr><td>Тип</td><td>дисковая отрезная</td></tr><tr><td>Материал</td><td>Р6М5</td></tr><tr><td>Количество зубьев</td><td>160</td></tr></table>";1842;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Фрезы по металлу";https://cdn.vseinstrumenti.ru/images/goods/903328/1000x1000/52380318.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Ffreza-otreznaya-125h22h1-mm-tip-1-z160-tulamash-tm-39189-903328%2F;Купить;1100000391890;Туламаш
